Procedure,Type,AllowedCost
Any,Non-Preferred,4276.5329877810755
Any,Non-Preferred,3400.6334740757607
Any,Non-Preferred,4251.985296813663
Any,Non-Preferred,4379.267169140256
Any,Non-Preferred,3617.7622795822735
Any,Non-Preferred,4240.31180487027
Any,Non-Preferred,4183.001972370554
Any,Non-Preferred,3462.2945626045794
X-Ray,Preferred,3178.8936801741415
X-Ray,Preferred,3280.3922631841174
X-Ray,Preferred,3541.5256215876384
X-Ray,Preferred,3526.9010260174514
X-Ray,Preferred,2311.1653160214546
X-Ray,Preferred,2531.0874800424385
X-Ray,Preferred,3257.51763360433
X-Ray,Preferred,3256.8929754561045
X-Ray,Preferred,3257.523843153024
X-Ray,Preferred,4926.365745327361
X-Ray,Preferred,3285.4452553465835
X-Ray,Preferred,3567.7828200902995
X-Ray,Preferred,3477.0008817466014
X-Ray,Preferred,3325.6956256528993
X-Ray,Preferred,2842.3653776798274
X-Ray,Preferred,3379.4846102466336
X-Ray,Preferred,2613.587392731214
X-Ray,Preferred,2881.5906966299954
X-Ray,Preferred,2757.3182260854483
X-Ray,Preferred,3040.9370696931614
X-Ray,Preferred,4157.329283336754
X-Ray,Preferred,2066.367403704126
X-Ray,Preferred,3343.1300951872568
X-Ray,Preferred,2193.642064405174
X-Ray,Preferred,2764.034067105283
X-Ray,Preferred,3544.475298483683
X-Ray,Preferred,3032.1400095477316
X-Ray,Preferred,2461.127611035347
X-Ray,Preferred,2642.348145370016
X-Ray,Preferred,3339.798874467338
X-Ray,Preferred,2634.816684141432
X-Ray,Preferred,3108.2292947909873
X-Ray,Preferred,3022.785919951907
X-Ray,Preferred,2674.1998261970916
X-Ray,Preferred,4071.972044662663
X-Ray,Preferred,3316.9595111590056
X-Ray,Preferred,1987.4287066711963
X-Ray,Preferred,3093.227157384714
X-Ray,Preferred,2669.106767615806
X-Ray,Preferred,3426.216667398112
X-Ray,Preferred,2603.73963078365
X-Ray,Preferred,2942.6317792665504
X-Ray,Preferred,3252.4936394902284
X-Ray,Preferred,3432.8775970850606
X-Ray,Preferred,2399.851796472112
X-Ray,Preferred,2832.7493820795257
X-Ray,Preferred,2762.527344419522
X-Ray,Preferred,2673.335383713144
X-Ray,Preferred,3882.7271201405483
X-Ray,Preferred,3202.490855480478
X-Ray,Preferred,2369.5580228324775
X-Ray,Preferred,3458.9309735273882
X-Ray,Preferred,4061.0780985063166
X-Ray,Preferred,3516.2326302755737
X-Ray,Preferred,2240.3150170229933
X-Ray,Preferred,2757.8829635668744
X-Ray,Preferred,3633.455574593311
X-Ray,Preferred,2646.1652671906095
X-Ray,Preferred,3221.909714073114
X-Ray,Preferred,3387.3170267146684
X-Ray,Preferred,2536.5347642109587
X-Ray,Preferred,2970.2373219691
X-Ray,Preferred,1379.3663299654638
X-Ray,Preferred,2487.806179332855
X-Ray,Preferred,2873.71592430342
X-Ray,Preferred,2376.1084090175755
X-Ray,Preferred,3816.2056519658177
X-Ray,Preferred,2284.9293110196836
X-Ray,Preferred,2779.977756651508
X-Ray,Preferred,3065.3702886430456
X-Ray,Preferred,3720.6366445330577
X-Ray,Preferred,2282.0689244102805
X-Ray,Preferred,3581.58187607748
X-Ray,Preferred,3005.1165305097934
X-Ray,Preferred,2509.2456744760248
X-Ray,Preferred,3231.0517371316355
X-Ray,Preferred,3099.529847786735
X-Ray,Preferred,2699.8915614206026
X-Ray,Preferred,3034.9010424950093
X-Ray,Preferred,2807.34320156912
X-Ray,Preferred,3056.758672625624
X-Ray,Preferred,3331.0653372605234
X-Ray,Preferred,3793.008408072676
X-Ray,Preferred,2381.0922505865756
X-Ray,Preferred,4066.5166873281332
X-Ray,Preferred,2023.956100238749
X-Ray,Preferred,2924.1074524822084
X-Ray,Preferred,3294.1586032422883
X-Ray,Preferred,3140.495933867516
X-Ray,Preferred,2688.650240089703
X-Ray,Preferred,2895.9388748213623
X-Ray,Preferred,2753.4995326705834
X-Ray,Preferred,2705.317621527894
X-Ray,Preferred,3424.8010485105124
X-Ray,Preferred,3178.5077429825237
X-Ray,Preferred,2653.545202369673
X-Ray,Preferred,3449.799937716625
X-Ray,Preferred,3153.649760438305
X-Ray,Preferred,3406.43105941948
X-Ray,Preferred,3314.8144209618063
X-Ray,Non-Preferred,3735.05111999698
X-Ray,Non-Preferred,3896.3395024320416
X-Ray,Non-Preferred,4680.824289624181
X-Ray,Non-Preferred,4598.670285810303
X-Ray,Non-Preferred,4219.907170171735
X-Ray,Non-Preferred,4302.844556535493
X-Ray,Non-Preferred,4999.047064023279
X-Ray,Non-Preferred,3877.5052932487256
X-Ray,Non-Preferred,4560.706555252246
X-Ray,Non-Preferred,4111.132535089887
X-Ray,Non-Preferred,4101.839404613891
X-Ray,Non-Preferred,4891.714237742538
X-Ray,Non-Preferred,4727.697935943042
X-Ray,Non-Preferred,4720.553908150607
X-Ray,Non-Preferred,5015.735410842821
X-Ray,Non-Preferred,4245.0504315298795
X-Ray,Non-Preferred,4641.619909327202
X-Ray,Non-Preferred,4046.28807259415
X-Ray,Non-Preferred,4426.947938043289
X-Ray,Non-Preferred,4154.362293929613
X-Ray,Non-Preferred,4290.645705545854
X-Ray,Non-Preferred,4589.542341812372
X-Ray,Non-Preferred,3741.51571661014
X-Ray,Non-Preferred,5487.8804919614995
X-Ray,Non-Preferred,3628.8376976504023
X-Ray,Non-Preferred,3503.9349588775844
X-Ray,Non-Preferred,4927.314650650264
X-Ray,Non-Preferred,4707.4457429279855
X-Ray,Non-Preferred,4606.920016781517
X-Ray,Non-Preferred,4609.455432108792
X-Ray,Non-Preferred,4225.100062842075
X-Ray,Non-Preferred,3694.0955036587247
X-Ray,Non-Preferred,4277.93086146646
X-Ray,Non-Preferred,3826.1510996429565
X-Ray,Non-Preferred,4817.519966600874
X-Ray,Non-Preferred,4144.21369764894
X-Ray,Non-Preferred,3737.149808474717
X-Ray,Non-Preferred,4039.6166215584276
X-Ray,Non-Preferred,4480.206999115599
X-Ray,Non-Preferred,3894.213394867839
X-Ray,Non-Preferred,3739.115889210365
X-Ray,Non-Preferred,4378.660453445371
X-Ray,Non-Preferred,4379.428069215457
X-Ray,Non-Preferred,3928.282221327546
X-Ray,Non-Preferred,3949.82514317923
X-Ray,Non-Preferred,4371.678088964805
X-Ray,Non-Preferred,3363.597521651829
X-Ray,Non-Preferred,3387.9698619242904
X-Ray,Non-Preferred,3801.381593798762
X-Ray,Non-Preferred,4104.379835523116
X-Ray,Non-Preferred,4418.992665909026
X-Ray,Non-Preferred,5117.661856719955
X-Ray,Non-Preferred,4747.043900471435
X-Ray,Non-Preferred,4136.485008572167
X-Ray,Non-Preferred,4221.038401808611
X-Ray,Non-Preferred,3630.930507767538
X-Ray,Non-Preferred,4221.340244954789
X-Ray,Non-Preferred,4059.2529431981407
X-Ray,Non-Preferred,4426.079262753077
X-Ray,Non-Preferred,3736.10956041883
X-Ray,Non-Preferred,4544.056035094927
X-Ray,Non-Preferred,5152.091474351771
X-Ray,Non-Preferred,4167.192037476109
X-Ray,Non-Preferred,4473.475159809588
X-Ray,Non-Preferred,4646.534521576891
X-Ray,Non-Preferred,3991.7158434187218
X-Ray,Non-Preferred,4366.903615636474
X-Ray,Non-Preferred,4240.0035670193
X-Ray,Non-Preferred,4291.053785679523
X-Ray,Non-Preferred,3768.6422562369435
X-Ray,Non-Preferred,4247.154231105589
X-Ray,Non-Preferred,4531.247101297494
X-Ray,Non-Preferred,5103.1342912272485
X-Ray,Non-Preferred,4808.010622201347
X-Ray,Non-Preferred,5524.357601057158
X-Ray,Non-Preferred,3772.039588817394
X-Ray,Non-Preferred,4755.840508582631
X-Ray,Non-Preferred,4342.453329993235
X-Ray,Non-Preferred,5546.329886480827
X-Ray,Non-Preferred,3747.4691553371326
X-Ray,Non-Preferred,3728.615021241758
X-Ray,Non-Preferred,3872.81253928381
X-Ray,Non-Preferred,2958.1106919643394
X-Ray,Non-Preferred,3916.995113541767
X-Ray,Non-Preferred,3776.968529618005
X-Ray,Non-Preferred,4322.684398435948
X-Ray,Non-Preferred,4437.501712016519
X-Ray,Non-Preferred,5358.1506300797555
X-Ray,Non-Preferred,4802.702429461854
X-Ray,Non-Preferred,3886.3059331527816
X-Ray,Non-Preferred,3693.3993237412087
X-Ray,Non-Preferred,4527.599629454127
X-Ray,Non-Preferred,3440.3082023378383
X-Ray,Non-Preferred,5331.323386062836
X-Ray,Non-Preferred,4940.112198982995
X-Ray,Non-Preferred,3950.942735287401
X-Ray,Non-Preferred,3204.5674090956973
X-Ray,Non-Preferred,5044.771551049471
X-Ray,Non-Preferred,4163.724219398653
X-Ray,Non-Preferred,4975.137913734301
CT,Preferred,2202.7861706028166
CT,Preferred,2700.3124885231136
CT,Preferred,3002.6218498590915
CT,Preferred,3023.4902968823712
CT,Preferred,2774.967264260378
CT,Preferred,3311.4249661737495
CT,Preferred,2466.189785308703
CT,Preferred,2928.8102574893533
CT,Preferred,3060.1478158559494
CT,Preferred,3257.2194170293747
CT,Preferred,3355.807439044445
CT,Preferred,2437.6789540810655
CT,Preferred,2232.942914632189
CT,Preferred,3638.8384109492545
CT,Preferred,3166.157005989796
CT,Preferred,2625.756731721723
CT,Preferred,3775.5759877612613
CT,Preferred,3057.8373171464295
CT,Preferred,3589.6485920319133
CT,Preferred,3033.7592407050543
CT,Preferred,4030.3739624409936
CT,Preferred,3877.6704212216023
CT,Preferred,2875.517925760463
CT,Preferred,3485.785475477178
CT,Preferred,3322.6879747925736
CT,Preferred,3684.3157787661744
CT,Preferred,2517.5382697099476
CT,Preferred,3343.0257299992195
CT,Preferred,3529.212243424794
CT,Preferred,2120.6302567884427
CT,Preferred,2408.3707436671125
CT,Preferred,1980.3839111199497
CT,Preferred,2865.296582777721
CT,Preferred,3358.7711278979814
CT,Preferred,3751.178526048014
CT,Preferred,3037.0473902098875
CT,Preferred,3814.307772785646
CT,Preferred,2309.9492708925545
CT,Preferred,2148.3087803224225
CT,Preferred,2972.226150551691
CT,Preferred,3192.0327244696537
CT,Preferred,2983.6526259529533
CT,Preferred,1966.2789499800617
CT,Preferred,2955.439980243606
CT,Preferred,2347.7652497475733
CT,Preferred,3334.836274415019
CT,Preferred,3183.299123048424
CT,Preferred,2530.060106836322
CT,Preferred,2743.0665413316533
CT,Preferred,2470.393239055524
CT,Preferred,2968.6604513634143
CT,Preferred,3477.571160250619
CT,Preferred,2507.1369768322284
CT,Preferred,3252.023257758922
CT,Preferred,2734.87119081378
CT,Preferred,2603.5635838688277
CT,Preferred,2946.484820022721
CT,Preferred,2482.3788387903132
CT,Preferred,2723.175347326409
CT,Preferred,2401.061053705576
CT,Preferred,3982.3625664581946
CT,Preferred,3017.6317759858644
CT,Preferred,2650.1372460037073
CT,Preferred,3106.989955367111
CT,Preferred,2943.835975154585
CT,Preferred,2889.5152002333884
CT,Preferred,3307.0833500217127
CT,Preferred,3378.7538550236527
CT,Preferred,2734.7494261947363
CT,Preferred,2712.09087967766
CT,Preferred,2862.4741514241778
CT,Preferred,1849.0394176322077
CT,Preferred,2242.4044689007237
CT,Preferred,3683.4371337222624
CT,Preferred,3822.4838567506417
CT,Preferred,2875.4819802218108
CT,Preferred,3288.2784815278833
CT,Preferred,3155.625077271768
CT,Preferred,4539.440404227619
CT,Preferred,3559.787455717288
CT,Preferred,2936.0412042596167
CT,Preferred,2522.2297796997873
CT,Preferred,2196.7768398712137
CT,Preferred,3101.7318179336116
CT,Preferred,2621.8246273578484
CT,Preferred,2288.873145201163
CT,Preferred,2676.7135578787365
CT,Preferred,2459.2259981928028
CT,Preferred,3843.5708175362824
CT,Preferred,3440.819878474725
CT,Preferred,2996.0136793416914
CT,Preferred,3739.972069445013
CT,Preferred,3038.684153823809
CT,Preferred,2569.3578993358683
CT,Preferred,3761.5620386348287
CT,Preferred,3269.455021842329
CT,Preferred,2481.376922836772
CT,Preferred,2904.830660958196
CT,Preferred,2562.1908733076216
CT,Preferred,2308.600134517832
CT,Non-Preferred,4727.704293263811
CT,Non-Preferred,5317.647749026905
CT,Non-Preferred,3332.857220453342
CT,Non-Preferred,4509.779306759169
CT,Non-Preferred,3781.6122232717307
CT,Non-Preferred,3879.722534486009
CT,Non-Preferred,3816.561410201505
CT,Non-Preferred,3653.6033029369373
CT,Non-Preferred,4201.110741511723
CT,Non-Preferred,3673.427694898204
CT,Non-Preferred,4334.27186021273
CT,Non-Preferred,4141.854899075344
CT,Non-Preferred,4028.6289366249807
CT,Non-Preferred,3627.459567519868
CT,Non-Preferred,3825.9349664038273
CT,Non-Preferred,4625.23250024028
CT,Non-Preferred,4472.548077319455
CT,Non-Preferred,3585.4646178656963
CT,Non-Preferred,4231.597148002363
CT,Non-Preferred,4622.8300387679
CT,Non-Preferred,3170.354596072004
CT,Non-Preferred,4498.013880172788
CT,Non-Preferred,3774.4235093773186
CT,Non-Preferred,4514.356965900723
CT,Non-Preferred,3714.042270819317
CT,Non-Preferred,3089.0685043461153
CT,Non-Preferred,3195.472302014929
CT,Non-Preferred,4200.848732741656
CT,Non-Preferred,4327.831265777716
CT,Non-Preferred,3629.407789682182
CT,Non-Preferred,4555.153240011251
CT,Non-Preferred,3175.085727383451
CT,Non-Preferred,4132.349885556437
CT,Non-Preferred,3445.388044887353
CT,Non-Preferred,3780.8961000635313
CT,Non-Preferred,4200.436967534675
CT,Non-Preferred,3655.749745574455
CT,Non-Preferred,3941.2644382069316
CT,Non-Preferred,4775.773450273491
CT,Non-Preferred,3825.8626430309378
CT,Non-Preferred,4673.413031983911
CT,Non-Preferred,3494.173651950256
CT,Non-Preferred,4489.880271493997
CT,Non-Preferred,5036.938937139567
CT,Non-Preferred,2689.0110646684534
CT,Non-Preferred,3693.860611462541
CT,Non-Preferred,4518.241041053151
CT,Non-Preferred,4050.170533119031
CT,Non-Preferred,4394.685288767612
CT,Non-Preferred,3809.6066527153343
CT,Non-Preferred,4223.951637228567
CT,Non-Preferred,4078.5914235095793
CT,Non-Preferred,4872.667001740711
CT,Non-Preferred,4324.650270725555
CT,Non-Preferred,4374.559361989948
CT,Non-Preferred,3924.8715850713465
CT,Non-Preferred,3879.4340303013305
CT,Non-Preferred,3912.462852053054
CT,Non-Preferred,4408.669050171805
CT,Non-Preferred,3919.407076252669
CT,Non-Preferred,4345.862678882674
CT,Non-Preferred,5417.23824393209
CT,Non-Preferred,4694.672586803842
CT,Non-Preferred,3976.383645444122
CT,Non-Preferred,4892.726118043193
CT,Non-Preferred,3927.152540931896
CT,Non-Preferred,2949.1230436381147
CT,Non-Preferred,3567.1459781943845
CT,Non-Preferred,3049.5226121293135
CT,Non-Preferred,3961.0896743200415
CT,Non-Preferred,4183.048792258558
CT,Non-Preferred,5177.860152109996
CT,Non-Preferred,4368.154189003324
CT,Non-Preferred,4040.5374474595083
CT,Non-Preferred,4669.64111345492
CT,Non-Preferred,2845.316579340096
CT,Non-Preferred,4313.366499609966
CT,Non-Preferred,4634.5168810770065
CT,Non-Preferred,3284.846017276922
CT,Non-Preferred,4858.250190668984
CT,Non-Preferred,4375.095609241475
CT,Non-Preferred,3922.825016404346
CT,Non-Preferred,4551.666884408598
CT,Non-Preferred,5534.413479427464
CT,Non-Preferred,4281.117517779924
CT,Non-Preferred,4320.930116525028
CT,Non-Preferred,3896.38122502068
CT,Non-Preferred,3662.0911430659517
CT,Non-Preferred,4670.199254671375
CT,Non-Preferred,3658.3474691995066
CT,Non-Preferred,4214.937507076463
CT,Non-Preferred,3885.4032966857567
CT,Non-Preferred,4459.385660192662
CT,Non-Preferred,4372.195027916996
CT,Non-Preferred,4794.521731299566
CT,Non-Preferred,3865.9879254319785
CT,Non-Preferred,4010.072803568804
CT,Non-Preferred,3584.7395352754424
CT,Non-Preferred,3905.42180869916
CT,Non-Preferred,4398.378060571738
MRI,Preferred,3378.494308322676
MRI,Preferred,2538.917337911187
MRI,Preferred,3434.8029600528303
MRI,Preferred,3677.8189294024755
MRI,Preferred,3206.7174516118503
MRI,Preferred,3938.397906279033
MRI,Preferred,2613.1054004482135
MRI,Preferred,2377.6726483442917
MRI,Preferred,2110.639875547861
MRI,Preferred,3748.0221557445916
MRI,Preferred,3327.182828177029
MRI,Preferred,2972.2076645447723
MRI,Preferred,3139.98431315991
MRI,Preferred,2437.2554763508115
MRI,Preferred,4222.875989808414
MRI,Preferred,3064.6105909876137
MRI,Preferred,3054.6973973024465
MRI,Preferred,3362.883311949346
MRI,Preferred,3240.5046158683567
MRI,Preferred,3111.9420121395656
MRI,Preferred,2604.762772277344
MRI,Preferred,3235.734178567998
MRI,Preferred,3941.012248237517
MRI,Preferred,3672.7100230774886
MRI,Preferred,3796.5933133196986
MRI,Preferred,2744.3921617844076
MRI,Preferred,2505.1975898707096
MRI,Preferred,2937.106539950176
MRI,Preferred,3027.862456144347
MRI,Preferred,3547.0957592354744
MRI,Preferred,2153.7676851425904
MRI,Preferred,3764.7751597303068
MRI,Preferred,2920.996050710505
MRI,Preferred,2786.55946502629
MRI,Preferred,2493.9478123699164
MRI,Preferred,2172.5716640671153
MRI,Preferred,3411.585291980957
MRI,Preferred,3036.658983594202
MRI,Preferred,2355.019550129473
MRI,Preferred,2352.460613968192
MRI,Preferred,2832.1076503549357
MRI,Preferred,3834.5107626446966
MRI,Preferred,2870.2043243181975
MRI,Preferred,2248.428523440947
MRI,Preferred,2877.1284679570276
MRI,Preferred,2863.6382151261646
MRI,Preferred,1651.5566785292142
MRI,Preferred,2972.852566741094
MRI,Preferred,2884.532734895661
MRI,Preferred,3348.103182406709
MRI,Preferred,3924.4780474726726
MRI,Preferred,3563.2825147738786
MRI,Preferred,2865.5556547225847
MRI,Preferred,2446.7370456291646
MRI,Preferred,4286.67990162493
MRI,Preferred,3029.6092170072443
MRI,Preferred,3006.9646459564733
MRI,Preferred,2987.937456444998
MRI,Preferred,3099.0423803839276
MRI,Preferred,2927.8197940380287
MRI,Preferred,2713.1689965598816
MRI,Preferred,2726.5705293798037
MRI,Preferred,2983.6233648920006
MRI,Preferred,2728.2876144331176
MRI,Preferred,2643.5771086614177
MRI,Preferred,3053.2151138459485
MRI,Preferred,2872.511391289572
MRI,Preferred,3751.9964942913443
MRI,Preferred,1674.515095803494
MRI,Preferred,3545.7534259612307
MRI,Preferred,3623.0425962488143
MRI,Preferred,1963.3048837959252
MRI,Preferred,2828.656202959826
MRI,Preferred,2814.279567002104
MRI,Preferred,2296.2441526410894
MRI,Preferred,2611.0916562045622
MRI,Preferred,2444.7120772670855
MRI,Preferred,3876.1352217118115
MRI,Preferred,3467.8391965737305
MRI,Preferred,3635.7775474970795
MRI,Preferred,3360.8360320216175
MRI,Preferred,2435.4741143913852
MRI,Preferred,2737.739866860113
MRI,Preferred,3244.687280613959
MRI,Preferred,2388.9360955540274
MRI,Preferred,3356.499215086194
MRI,Preferred,2879.8373009209326
MRI,Preferred,2812.589596225201
MRI,Preferred,3355.4799841017457
MRI,Preferred,3222.13165574302
MRI,Preferred,2819.51691709046
MRI,Preferred,3579.664901682124
MRI,Preferred,2459.4683362000515
MRI,Preferred,3307.967803472132
MRI,Preferred,3296.550628984192
MRI,Preferred,2845.226780343005
MRI,Preferred,3163.066511121059
MRI,Preferred,2374.4432118073487
MRI,Preferred,3462.0135096034505
MRI,Preferred,2907.5489317785054
MRI,Non-Preferred,3898.4131193708454
MRI,Non-Preferred,4841.452467184403
MRI,Non-Preferred,3789.4407173566137
MRI,Non-Preferred,3366.9701538641334
MRI,Non-Preferred,3278.069427567927
MRI,Non-Preferred,4575.652902489653
MRI,Non-Preferred,3443.789320184499
MRI,Non-Preferred,5264.923440872888
MRI,Non-Preferred,2962.889286952036
MRI,Non-Preferred,5229.920752656292
MRI,Non-Preferred,4338.65741200384
MRI,Non-Preferred,4154.019064560033
MRI,Non-Preferred,3885.095479596899
MRI,Non-Preferred,4451.528600293512
MRI,Non-Preferred,4189.46611022736
MRI,Non-Preferred,4874.028060892182
MRI,Non-Preferred,4280.583520879493
MRI,Non-Preferred,4302.227988559395
MRI,Non-Preferred,3993.8796043539555
MRI,Non-Preferred,4177.879557449629
MRI,Non-Preferred,4396.727993017505
MRI,Non-Preferred,3185.945896088294
MRI,Non-Preferred,3403.135678418841
MRI,Non-Preferred,4658.0053880958985
MRI,Non-Preferred,4314.566194559035
MRI,Non-Preferred,4101.656929870662
MRI,Non-Preferred,4223.107291521505
MRI,Non-Preferred,4420.595954899271
MRI,Non-Preferred,3888.1911234966524
MRI,Non-Preferred,3745.0640964408817
MRI,Non-Preferred,4329.554084740878
MRI,Non-Preferred,3625.02326511325
MRI,Non-Preferred,4456.998585110952
MRI,Non-Preferred,3190.496769139565
MRI,Non-Preferred,4829.540314077655
MRI,Non-Preferred,4495.605421130095
MRI,Non-Preferred,4365.664772270595
MRI,Non-Preferred,4801.661522049578
MRI,Non-Preferred,5211.331598359815
MRI,Non-Preferred,4820.6689706931475
MRI,Non-Preferred,3107.522392883282
MRI,Non-Preferred,3444.3007516408484
